番号,単語,品詞,訳語,レベル
1,look,動詞,～に見える、見る,A
2,take,動詞,(時間などが）かかる、（乗り物）に乗る、〜を持っていく、（試験・授業など）を受ける,A
3,make A B,動詞,AをBにする、～を作る、～を行う,A
4,see,動詞,～が見える、〜を見る、～に会う、わかる,A
5,watch,動詞,〜を（注意して）見る,A
6,give 人 もの,動詞,（人）に（もの）を与える,A
7,work,動詞,働く、（機械などが）働く、（作業を）する,A
8,call A B,動詞,AをBと呼ぶ、電話する,A
9,enjoy,動詞,〜を楽しむ,A
10,find,動詞,〜を見つける、～とわかる,A
11,practice,動詞,〜を練習する,A
12,tell 人 もの・こと,動詞,（人）に（もの・こと）を話す,A
13,leave,動詞,〜を置き忘れる、～を残す、～を出発する,A
14,need,動詞,〜を必要とする,A
15,say,動詞,〜と言う、書いてある,A
16,finish,動詞,〜を終える、～が終わる,A
17,sell,動詞,〜を売る,A
18,clean,動詞,〜をきれいにする、～を掃除する,A
19,wait,動詞,待つ,A
20,become,動詞,〜になる,A
21,show 人 もの,動詞,（人）に（もの）を見せる、〜を見せる,A
22,join,動詞,～に加わる、～に参加する,A
23,bring,動詞,～を持ってくる、連れてくる,A
24,move,動詞,動く、〜を動かす、引っ越す,A
25,put,動詞,〜を置く,A
26,drive,動詞,～を車で送る、運転する,A
27,rain,動詞,雨が降る,A
28,win,動詞,～に勝つ、～を勝ち取る,A
29,speak,動詞,～を話す,A
30,travel,動詞,旅行する,A
31,hope,動詞,～を望む、～を願う,A
32,ride,動詞,〜に乗る,A
33,sound,動詞,〜に聞こえる、音がする,A
34,wear,動詞,〜を着ている、身につけている,A
35,train,名詞,列車、電車,A
36,hour,名詞,（１）時間、（複で）営業時間,A
37,weekend,名詞,週末,A
38,restaurant,名詞,料理店、レストラン,A
39,food,名詞,食べ物、料理,A
40,month,名詞,月,A
41,station,名詞,駅、（警察や消防などの）署,A
42,festival,名詞,祭り,A
43,ticket,名詞,切符,A
44,minute,名詞,分、ちょっとの間,A
45,trip,名詞,旅行,A
46,movie,名詞,映画,A
47,parent,名詞,親、（複で）両親,A
48,lesson,名詞,レスン、授業,A
49,kind,名詞,種類,A
50,money,名詞,お金,A
51,job,名詞,仕事,A
52,place,名詞,場所,A
53,office,名詞,オフィス、事務所、会社,A
54,science,名詞,科学、理科,A
55,meeting,名詞,会合、会議,A
56,concert,名詞,コンサート、演奏会,A
57,plan,名詞,計画、予定,A
58,child,名詞,子ども,A
59,vacation,名詞,休み、休暇,A
60,history,名詞,歴史,A
61,contest,名詞,コンテスト,A
62,library,名詞,図書館,A
63,last,形容詞,この前の、最後の,A
64,next,形容詞,次の,A
65,famous,形容詞,有名な,A
66,popular,形容詞,人気のある,A
67,sure,形容詞,確かな、確信して,A
68,favorite,形容詞,お気に入りの、大好きな,A
69,other,形容詞,他の,A
70,late,形容詞,遅い、遅れた,A
71,special,形容詞,特別な,A
72,different,形容詞,異なる、様々な、別の,A
73,sorry,形容詞,申し訳なく思って、気の毒に思って,A
74,free,形容詞,自由な、暇な、無料の,A
75,busy,形容詞,忙しい,A
76,first,副詞,最初に、最初の、第一に,A
77,often,副詞,よく、しばしば,A
78,also,副詞,〜もまた,A
79,tonight,副詞,今夜（は）,A
80,usually,副詞,たいてい、いつもは,A
81,well,副詞,上手に、十分に、よく,A
82,hard,副詞,熱心に、激しく,A
83,just,副詞,ちょうど、ただ、たった今,A
84,early,副詞,早く,A
85,still,副詞,まだ、それでも、今でも,A
86,together,副詞,一緒に,A
87,ago,副詞,（今から）〜前に,A
88,by,前置詞,～で、～によって、〜のそばに、〜までには,A
89,around,前置詞,〜の周りに、あちこちで,A
90,during,前置詞,〜の間中,A
91,over,前置詞,〜の上に、〜を越えて,A
92,when,接続詞,〜のとき、～するとき,A
93,because,接続詞,なぜなら～なので,A
94,before,接続詞/前置詞,〜の前に、~する前に,A
95,if,接続詞,もし～なら,A
96,than ～,接続詞/前置詞,～よりも,A
97,one,代名詞,もの、ひとつ、人,A
98,all,代名詞/副詞,すべて、すべては,A
99,could,助動詞,〜できた,A
100,should,助動詞,〜すべきだ、～したほうがよい,A
101,forget,動詞,～を忘れる,A
102,break,動詞,～を割る、～を壊す、～を折る,A
103,learn,動詞,～を学ぶ、～を習う,A
104,close,動詞,～を閉める、～が閉まる,A
105,hold,動詞,（会・パーティなど）を開く、～を持つ,A
106,decide,動詞,～を決める,A
107,grow,動詞,～を栽培する、～を育てる、育つ,A
108,try,動詞,～を試す、～を試みる、努力する,A
109,happen,動詞,起こる,A
110,lose,動詞,〜を失う、～を失くす、～に負ける,A
111,arrive,動詞,到着する,A
112,send 人 もの,動詞,人にものを送る、～を送る,A
113,borrow,動詞,～を借りる,A
114,build,動詞,〜を建てる、～を作る,A
115,draw,動詞,（絵・図）を書く、線を引く、引っぱる,A
116,hear,動詞,聞こえる、〜を聞く、～を聞いて知る,A
117,carry,動詞,〜を運ぶ、～を持ち歩く,A
118,check,動詞,〜を確認する、～を調べる,A
119,pay,動詞,（お金を）払う,A
120,marry 人,動詞,人と結婚する,A
121,miss,動詞,乗り物に遅れる、～をしそこなう、寂しく思う,A
122,remember,動詞,～を思い出す、～を覚えている,A
123,turn,動詞,～を曲がる、～を回す、まわる,A
124,beach,名詞,海辺、浜辺、砂浜,A
125,fun,名詞,楽しみ,A
126,idea,名詞,考え、アイデア,A
127,present,名詞,プレゼント,A
128,company,名詞,会社,A
129,event,名詞,行事、イベント,A
130,bike,名詞,自転車,A
131,store,名詞,店,A
132,street,名詞,通り,A
133,thing,名詞,もの、こと,A
134,glasses,名詞,メガネ,A
135,a.m.,名詞,午前,A
136,computer,名詞,コンピュータ,A
137,country,名詞,国、いなか,A
138,p.m.,名詞,午後,A
139,problem,名詞,問題,A
140,pumpkin,名詞,かぼちゃ,A
141,zoo,名詞,動物園,A
142,floor,名詞,床、階,A
143,museum,名詞,博物館、美術館,A
144,way,名詞,方法、道、やり方、方向,A
145,band,名詞,音楽のバンド,A
146,clothes,名詞,衣服,A
147,speech,名詞,スピーチ、演説,A
148,weather,名詞,天気、天候,A
149,supermarket,名詞,スーパーマーケット,A
150,uncle,名詞,おじ,A
151,newspaper,名詞,新聞,A
152,photo,名詞,写真,A
153,star,名詞,星、スター,A
154,grandparent,名詞,祖父、祖母  （複で）祖父母,A
155,holiday,名詞,休日、祝日,A
156,hospital,名詞,病院,A
157,pie,名詞,パイ,A
158,plane,名詞,飛行機,A
159,poster,名詞,ポスター,A
160,prize,名詞,賞、賞品,A
161,report,名詞,報告書、レポート,A
162,sir,名詞,お客様、先生,A
163,stop,名詞,停留所、止まること,A
164,dish,名詞,皿、料理,A
165,doctor,名詞,医者、博士,A
166,e-mail,名詞,電子メール,A
167,gym,名詞,体育館,A
168,sandwich,名詞,サンドイッチ,A
169,right,形容詞,右の、正しい,A
170,most,形容詞,大部分の、もっとも多くの,A
171,better,形容詞,よりよい,A
172,little,形容詞,少しの,A
173,delicious,形容詞,とてもおいしい,A
174,ready,形容詞,準備ができた,A
175,sick,形容詞,病気の、気分の悪い,A
176,expensive,形容詞,高価な,A
177,best,形容詞,もっともよい、もっとも上手な,A
178,difficult,形容詞,難しい,A
179,interesting,形容詞,おもしろい、興味深い,A
180,another,形容詞,もう一つの、別の,A
181,beautiful,形容詞,美しい,A
182,enough,形容詞,十分な、十分に,A
183,French,形容詞,フランスの、フランス語、フランス人の,A
184,Italian,形容詞,イタリアの、イタリア人の、イタリア語,A
185,cheap,形容詞,安っぽい,A
186,Chinese,形容詞,中国の、中国人の、中国語,A
187,important,形容詞,重要な,A
188,ever,副詞,かつて、これまでに,A
189,outside,副詞,外に、〜の外部に、外側で,A
190,never,副詞,一度も～ない、決して～ない,A
191,again,副詞,再び、また,A
192,later,副詞,あとで,A
193,yet,副詞,まだ～ない、もう,A
194,each,副詞,ひとつにつき、それぞれの,A
195,once,副詞,一度、かつて,A
196,already,副詞,すでに、もう,A
197,until,前置詞,〜までずっと,A
198,something,代名詞,何か、あるもの,A
199,anything,代名詞,何でも、何も～ない,A
200,must,助動詞,～しなければならない,A
201,begin,動詞,〜を始める、始まる,A
202,catch,動詞,〜を捕まえる、～に間に合う,A
203,invite,動詞,招待する,A
204,feel,動詞,体調・気分を感じる,A
205,choose,動詞,〜を選ぶ,A
206,hike,動詞/名詞,ハイキングをする,A
207,keep,動詞,〜を保つ、～を持ち続ける、～を取っておく、動物などを飼う,A
208,worry,動詞,心配する、心配させる,A
209,camp,動詞,キャンプする,A
210,celebrate,動詞,～を祝う,A
211,guess,動詞,～だと思う、推測する,A
212,pass,動詞,～に合格する、～を手渡す,A
213,relax,動詞,くつろぐ,A
214,spend,動詞,（お金・時間を）費やす、過ごす,A
215,camera,名詞,カメラ,A
216,cousin,名詞,いとこ,A
217,grandmother,名詞,祖母,A
218,mountain,名詞,山,A
219,space,名詞,宇宙、空間,A
220,theater,名詞,劇場、映画館,A
221,wallet,名詞,財布,A
222,bookstore,名詞,書店,A
223,college,名詞,（単科）大学,A
224,color,名詞,色,A
225,dictionary,名詞,辞書,A
226,dollar,名詞,ドル,A
227,garden,名詞,庭,A
228,husband,名詞,夫,A
229,key,名詞,鍵,A
230,nurse,名詞,看護師,A
231,pool,名詞,プール,A
232,writer,名詞,作家、書く人,A
233,aunt,名詞,おば,A
234,classroom,名詞,教室,A
235,gift,名詞,贈り物,A
236,group,名詞,グループ,A
237,line,名詞,線、列,A
238,member,名詞,一員,A
239,passage,名詞,文章の一節,A
240,university,名詞,（総合）大学,A
241,wedding,名詞,結婚式,A
242,wife,名詞,妻,A
243,word,名詞,単語,A
244,airport,名詞,空港,A
245,apartment,名詞,アパート,A
246,building,名詞,建物,A
247,coat,名詞,（衣服の）コート,A
248,farm,名詞,農場,A
249,part,名詞,部分、役目,A
250,phone,名詞,電話,A
251,son,名詞,息子,A
252,textbook,名詞,教科書,A
253,tournament,名詞,トーナメント、選手権試合,A
254,vegetable,名詞,野菜,A
255,area,名詞,区域、地域,A
256,bakery,名詞,パン屋,A
257,business,名詞,商売、仕事,A
258,cafeteria,名詞,カフェテリア、セルフサービスの食堂,A
259,daughter,名詞,娘,A
260,health,名詞,健康,A
261,information,名詞,情報,A
262,internet,名詞,インターネット,A
263,lake,名詞,湖,A
264,pizza,名詞,ピザ,A
265,police,名詞,警察,A
266,reason,名詞,理由,A
267,sale,名詞,セール、特売,A
268,snack,名詞,おやつ、軽食,A
269,stadium,名詞,スタジアム,A
270,main,形容詞,主な、主要な,A
271,angry,形容詞,怒っている,A
272,own,形容詞/動詞,自分自身の、所有する,A
273,professional,形容詞,プロの、専門家の,A
274,sad,形容詞,悲しい,A
275,both,形容詞,両方の,A
276,dear,形容詞,親愛なる～さま,A
277,excited,形容詞,わくわくして,A
278,sunny,形容詞,晴れた,A
279,cute,形容詞,かわいい,A
280,fine,形容詞,結構な、晴れた、元気な,A
281,glad,形容詞,うれしい,A
282,healthy,形容詞,健康的な,A
283,heavy,形容詞,重い、激しい,A
284,same,形容詞,（the をつけて）同じ,A
285,Spanish,形容詞/名詞,スペインの、スペイン人の、スペイン語,A
286,tired,形容詞,疲れ,A
287,wrong,形容詞,間違った、調子が悪い,A
288,strong,形容詞,強い、丈夫な,A
289,exciting,形容詞,わくわくさせる,A
290,nervous,形容詞,緊張した,A
291,surprised,形容詞,驚いて、びっくりして,A
292,soon,副詞,すぐに、まもなく,A
293,twice,副詞,2回、2倍、2度,A
294,far,副詞/形容詞,遠くに、遠い,A
295,sometimes,副詞,時々,A
296,almost,副詞,ほとんど、もう少しで,A
297,instead,副詞,代わりに,A
298,maybe,副詞,たぶん,A
299,since,接続詞/前置詞,〜以来ずっと,A
300,while,接続詞,〜の間、〜するうちに,A
301,change,動詞,～を変える、変わる,B
302,hurry,動詞,急ぐ,B
